cnpj_digits,cnpj,sigla,razao_social,uf,regiao,subsystem_id,codigo_area_atuacao,num_municipios,num_unidades_consumidoras,area_km2,subsystem_mapping_method
02341467000120,02.341.467/0001-20,AME,AMAZONAS ENERGIA S.A,AM,NORTE,N,C.085.AM.2019,63,1065509,1559179.59379021,GEOGRAPHIC_REGION_PROXY_MVP
33050071000158,33.050.071/0001-58,ENEL RJ,AMPLA ENERGIA E SERVIÇOS S.A.,RJ,SUDESTE,SE/CO,C.003.RJ.1996,66,2766570,31112.86694405,GEOGRAPHIC_REGION_PROXY_MVP
02302100000106,02.302.100/0001-06,EDP SP,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,SP,SUDESTE,SE/CO,C.064.SP.1998,28,1963350,9645.63370619,GEOGRAPHIC_REGION_PROXY_MVP
05965546000109,05.965.546/0001-09,CEA,COMPANHIA DE ELETRICIDADE DO AMAPÁ,AP,NORTE,N,C.076.AP.2016,16,206893,142471.62987573,GEOGRAPHIC_REGION_PROXY_MVP
12272084000100,12.272.084/0001-00,EQUATORIAL AL,EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,AL,NORDESTE,NE,C.083.AL.2019,102,1119021,27843.49088609,GEOGRAPHIC_REGION_PROXY_MVP
07522669000192,07.522.669/0001-92,NEOENERGIA BRASÍLIA,CEB DISTRIBUIÇÃO S.A.,DF,CENTRO-OESTE,SE/CO,C.043.DF.1999,1,1113922,5760.81910634,GEOGRAPHIC_REGION_PROXY_MVP
08467115000100,08.467.115/0001-00,CEEE-D,COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - CEEE-D,RS,SUL,S,C.045.RS.1999,72,1754348,87342.98093409,GEOGRAPHIC_REGION_PROXY_MVP
08336783000190,08.336.783/0001-90,CELESC-DIS,CELESC DISTRIBUIÇÃO S.A,SC,SUL,S,C.042.SC.1999,285,3041851,93826.45087829,GEOGRAPHIC_REGION_PROXY_MVP
01543032000104,01.543.032/0001-04,ENEL GO,CELG DISTRIBUIÇÃO S.A.,GO,CENTRO-OESTE,SE/CO,C.050.GO.2000,243,3130138,336911.57123274,GEOGRAPHIC_REGION_PROXY_MVP
04895728000180,04.895.728/0001-80,EQUATORIAL PA,EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,PA,NORTE,N,C.018.PA.1998,144,2364639,1245768.48038664,GEOGRAPHIC_REGION_PROXY_MVP
10835932000108,10.835.932/0001-08,CELPE,COMPANHIA ENERGÉTICA DE PERNAMBUCO,PE,NORDESTE,NE,C.048.PE.2000,186,4037670,98068.7114147,GEOGRAPHIC_REGION_PROXY_MVP
25086034000171,25.086.034/0001-71,ETO,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,TO,NORTE,N,C.041.TO.1999,139,643502,277722.4154584,GEOGRAPHIC_REGION_PROXY_MVP
