schema_version,run_id,interval_start_utc,zone_type,zone_id,demand_p10_mw,demand_p50_mw,demand_p90_mw,demand_percentile,supply_pressure,climate_exposure,generation_by_type_json,main_drivers_json,data_freshness_ok,quality_flags
system_signal_v1,fixture-20260919T000000Z,2026-09-19T00:00:00+00:00,SUBSYSTEM,N,4720.304,4968.741,5217.178,0.675,0.6432,0.18,"{""EOLIELÉTRICA"":794.999,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":2484.37,""TÉRMICA"":1093.123}","{""calendar_hour"":0,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T00:00:00+00:00,SUBSYSTEM,NE,10727.963,11292.593,11857.223,0.675,0.6432,0.18,"{""EOLIELÉTRICA"":1806.815,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":5646.297,""TÉRMICA"":2484.37}","{""calendar_hour"":0,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T00:00:00+00:00,SUBSYSTEM,S,9869.726,10389.185,10908.644,0.675,0.6432,0.18,"{""EOLIELÉTRICA"":1662.27,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":5194.592,""TÉRMICA"":2285.621}","{""calendar_hour"":0,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T00:00:00+00:00,SUBSYSTEM,SE/CO,36045.956,37943.112,39840.268,0.675,0.6432,0.2,"{""EOLIELÉTRICA"":6070.898,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":18971.556,""TÉRMICA"":8347.485}","{""calendar_hour"":0,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T00:00:00+00:00,SIN,SIN,61363.949,64593.631,67823.313,0.675,0.6432,0.21,"{""aggregation"":""SIN"",""fixture"":true}","{""calendar_hour"":0,""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T01:00:00+00:00,SUBSYSTEM,N,4571.875,4812.5,5053.125,0.5906,0.6232,0.18,"{""EOLIELÉTRICA"":770.0,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":2406.25,""TÉRMICA"":1058.75}","{""calendar_hour"":1,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T01:00:00+00:00,SUBSYSTEM,NE,10390.625,10937.5,11484.375,0.5906,0.6232,0.18,"{""EOLIELÉTRICA"":1750.0,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":5468.75,""TÉRMICA"":2406.25}","{""calendar_hour"":1,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T01:00:00+00:00,SUBSYSTEM,S,9559.375,10062.5,10565.625,0.5906,0.6232,0.18,"{""EOLIELÉTRICA"":1610.0,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":5031.25,""TÉRMICA"":2213.75}","{""calendar_hour"":1,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T01:00:00+00:00,SUBSYSTEM,SE/CO,34912.5,36750.0,38587.5,0.5906,0.6232,0.2,"{""EOLIELÉTRICA"":5880.0,""FOTOVOLTAICA"":0.0,""HIDROELÉTRICA"":18375.0,""TÉRMICA"":8085.0}","{""calendar_hour"":1,""climate_signal"":""synthetic"",""fixture"":true}",True,[]
system_signal_v1,fixture-20260919T000000Z,2026-09-19T01:00:00+00:00,SIN,SIN,59434.375,62562.5,65690.625,0.5906,0.6232,0.21,"{""aggregation"":""SIN"",""fixture"":true}","{""calendar_hour"":1,""fixture"":true}",True,[]
